	chrom	begin	end	count_rpt	length_rpt	count_SINE	length_SINE	count_DNA	length_DNA	count_TcM	length_TcM	count_LINE	length_LINE	count_LTR	length_LTR	count_nonLTR	length_nonLTR	count_simple	length_simple	count_gene	length_gene	count_gene_ex	length_gene_ex
0	LR999924.1	1.0	100000.0	181	78340	0.0	0.0	22.0	2312.0	22.0	2312.0	36.0	10175.0	0.0	0.0	72	61056	44	3570	0	0.0	0	0.0
1	LR999924.1	100001.0	200000.0	129	30952	4.0	1040.0	17.0	3193.0	7.0	929.0	11.0	4408.0	3.0	567.0	19	14690	25	1617	2	16712.0	0	0.0
2	LR999924.1	200001.0	300000.0	66	7205	8.0	1518.0	6.0	476.0	0.0	0.0	1.0	214.0	0.0	0.0	7	2184	27	1164	2	17503.0	0	0.0
3	LR999924.1	300001.0	400000.0	58	6967	7.0	1335.0	4.0	1692.0	0.0	0.0	2.0	130.0	3.0	241.0	8	1325	11	458	5	9990.0	0	0.0
4	LR999924.1	400001.0	500000.0	80	7049	8.0	1691.0	2.0	404.0	0.0	0.0	4.0	490.0	0.0	0.0	5	901	44	1732	4	31592.0	0	0.0
5	LR999924.1	500001.0	600000.0	83	9396	13.0	2367.0	2.0	105.0	0.0	0.0	4.0	532.0	0.0	0.0	13	3013	26	1152	2	10042.0	0	0.0
6	LR999924.1	600001.0	700000.0	126	14377	15.0	2887.0	9.0	2023.0	0.0	0.0	11.0	1137.0	1.0	29.0	10	2711	36	1478	0	0.0	0	0.0
7	LR999924.1	700001.0	800000.0	109	10701	16.0	2591.0	4.0	411.0	1.0	72.0	4.0	1192.0	1.0	65.0	8	1021	39	1606	5	31075.0	0	0.0
8	LR999924.1	800001.0	900000.0	110	14101	24.0	4494.0	4.0	2599.0	0.0	0.0	6.0	804.0	1.0	76.0	10	1193	29	1244	2	8041.0	0	0.0
9	LR999924.1	900001.0	1000000.0	135	16195	22.0	3997.0	15.0	3043.0	3.0	2168.0	6.0	614.0	0.0	0.0	12	1384	27	1039	2	12792.0	0	0.0
10	LR999924.1	1000000.0	1100000.0	131	16196	22.0	4308.0	11.0	2458.0	2.0	1600.0	2.0	176.0	3.0	225.0	13	1799	32	1357	1	3369.0	0	0.0
11	LR999924.1	1100000.0	1200000.0	99	9340	16.0	2874.0	5.0	251.0	0.0	0.0	8.0	1326.0	1.0	51.0	6	670	33	1391	0	0.0	0	0.0
12	LR999924.1	1200000.0	1300000.0	101	10745	18.0	3498.0	4.0	499.0	0.0	0.0	7.0	958.0	1.0	113.0	8	1357	24	1115	1	17895.0	0	0.0
13	LR999924.1	1300000.0	1400000.0	151	13280	23.0	4072.0	4.0	291.0	0.0	0.0	3.0	328.0	1.0	73.0	9	1104	51	2063	1	4710.0	0	0.0
14	LR999924.1	1400000.0	1500000.0	141	19848	28.0	6127.0	9.0	2184.0	0.0	0.0	8.0	2590.0	2.0	156.0	17	3544	30	1243	1	8014.0	0	0.0
15	LR999924.1	1500000.0	1600000.0	178	22322	37.0	6774.0	9.0	1918.0	1.0	58.0	10.0	3095.0	2.0	167.0	21	3855	38	1539	2	8514.0	0	0.0
16	LR999924.1	1600000.0	1700000.0	235	24357	49.0	7480.0	12.0	2012.0	0.0	0.0	12.0	1002.0	6.0	441.0	30	3250	38	1499	1	20183.0	0	0.0
17	LR999924.1	1700000.0	1800000.0	192	25216	41.0	7587.0	8.0	899.0	0.0	0.0	7.0	1002.0	3.0	204.0	21	5568	32	1528	2	12659.0	0	0.0
18	LR999924.1	1800000.0	1900000.0	221	29981	53.0	9014.0	15.0	2934.0	2.0	1607.0	12.0	1996.0	5.0	3988.0	23	2636	31	1478	0	0.0	0	0.0
19	LR999924.1	1900000.0	2000000.0	205	28638	46.0	7566.0	8.0	654.0	1.0	97.0	8.0	3464.0	3.0	696.0	28	6863	28	1226	1	2843.0	1	2843.0
20	LR999924.1	2000000.0	2100000.0	148	20221	26.0	3996.0	14.0	1420.0	0.0	0.0	1.0	234.0	1.0	70.0	15	6505	38	1472	3	46391.0	0	0.0
21	LR999924.1	2100000.0	2200000.0	137	16997	13.0	2428.0	3.0	211.0	0.0	0.0	9.0	3019.0	3.0	253.0	16	3846	28	1075	0	0.0	0	0.0
22	LR999924.1	2200000.0	2300000.0	162	20451	34.0	5474.0	11.0	2817.0	1.0	470.0	4.0	1664.0	2.0	168.0	19	2291	27	1173	3	26644.0	0	0.0
23	LR999924.1	2300000.0	2400000.0	148	15634	24.0	3855.0	11.0	1082.0	1.0	55.0	3.0	294.0	1.0	67.0	21	4092	37	1388	4	27331.0	0	0.0
24	LR999924.1	2400000.0	2500000.0	176	20284	32.0	5421.0	11.0	1460.0	0.0	0.0	11.0	1372.0	1.0	32.0	14	3048	25	1052	0	0.0	0	0.0
25	LR999924.1	2500000.0	2600000.0	131	13982	22.0	3753.0	8.0	450.0	0.0	0.0	4.0	349.0	1.0	134.0	18	2990	30	1279	7	23013.0	0	0.0
26	LR999924.1	2600000.0	2700000.0	146	16023	24.0	4580.0	7.0	548.0	1.0	87.0	10.0	1630.0	1.0	14.0	18	2514	30	1191	2	8645.0	0	0.0
27	LR999924.1	2700000.0	2800000.0	184	22757	31.0	5678.0	7.0	1048.0	0.0	0.0	13.0	5549.0	3.0	232.0	18	2058	38	1498	2	11919.0	0	0.0
28	LR999924.1	2800000.0	2900000.0	169	23130	31.0	5227.0	10.0	780.0	0.0	0.0	13.0	2844.0	4.0	4786.0	15	2128	35	1285	1	104.0	0	0.0
29	LR999924.1	2900000.0	3000000.0	154	21973	21.0	3950.0	5.0	401.0	0.0	0.0	13.0	4119.0	5.0	3783.0	19	3079	33	1417	0	0.0	0	0.0
30	LR999924.1	3000000.0	3100000.0	152	22520	37.0	5563.0	5.0	3729.0	0.0	0.0	7.0	949.0	0.0	0.0	9	4922	30	1361	0	0.0	0	0.0
31	LR999924.1	3100000.0	3200000.0	161	23427	26.0	5092.0	13.0	2674.0	1.0	152.0	9.0	4389.0	2.0	151.0	14	1643	29	1181	1	203.0	0	0.0
32	LR999924.1	3200000.0	3300000.0	171	17833	40.0	7204.0	14.0	1487.0	1.0	72.0	13.0	1850.0	2.0	141.0	9	1054	37	1552	2	14879.0	0	0.0
33	LR999924.1	3300000.0	3400000.0	150	19642	21.0	3882.0	9.0	1884.0	1.0	161.0	10.0	3483.0	0.0	0.0	12	2118	29	1286	4	30817.0	0	0.0
34	LR999924.1	3400000.0	3500000.0	184	28289	32.0	5627.0	14.0	2127.0	0.0	0.0	15.0	6533.0	3.0	207.0	16	4511	32	1388	0	0.0	0	0.0
35	LR999924.1	3500000.0	3600000.0	169	20565	26.0	5023.0	19.0	3164.0	0.0	0.0	7.0	772.0	1.0	40.0	18	2749	29	1201	1	5582.0	0	0.0
36	LR999924.1	3600000.0	3700000.0	146	15760	28.0	5171.0	16.0	1910.0	3.0	569.0	7.0	723.0	3.0	291.0	13	1788	30	1109	7	37313.0	0	0.0
37	LR999924.1	3700000.0	3800000.0	149	23372	21.0	4229.0	6.0	864.0	0.0	0.0	14.0	6352.0	1.0	47.0	19	6383	47	1858	0	0.0	0	0.0
38	LR999924.1	3800000.0	3900000.0	165	21813	32.0	5927.0	14.0	2723.0	0.0	0.0	4.0	1221.0	1.0	116.0	13	2034	34	1657	0	0.0	0	0.0
39	LR999924.1	3900000.0	4000000.0	158	20280	29.0	5073.0	15.0	2532.0	0.0	0.0	8.0	1749.0	0.0	0.0	16	3589	26	1023	3	21032.0	0	0.0
40	LR999924.1	4000000.0	4100000.0	149	20850	24.0	4866.0	11.0	3344.0	2.0	1139.0	3.0	304.0	0.0	0.0	10	4133	40	1838	6	30581.0	0	0.0
41	LR999924.1	4100000.0	4200000.0	135	14449	26.0	4299.0	9.0	914.0	0.0	0.0	7.0	808.0	0.0	0.0	11	1417	36	1534	4	14380.0	0	0.0
42	LR999924.1	4200000.0	4300000.0	169	22846	26.0	4745.0	13.0	7021.0	0.0	0.0	7.0	1000.0	2.0	159.0	3	319	33	1403	3	15343.0	0	0.0
43	LR999924.1	4300000.0	4400000.0	201	23798	33.0	6089.0	14.0	2829.0	0.0	0.0	12.0	1474.0	1.0	88.0	14	2003	39	1461	2	5533.0	1	4667.0
44	LR999924.1	4400000.0	4500000.0	138	13659	22.0	3388.0	4.0	211.0	1.0	56.0	3.0	383.0	9.0	979.0	19	1996	28	1163	1	8231.0	0	0.0
45	LR999924.1	4500000.0	4600000.0	115	11620	21.0	4229.0	11.0	1347.0	2.0	404.0	1.0	168.0	0.0	0.0	11	1519	28	1111	4	11665.0	0	0.0
46	LR999924.1	4600000.0	4700000.0	102	15108	19.0	4139.0	9.0	3233.0	2.0	359.0	4.0	954.0	3.0	344.0	11	2287	25	1113	2	24545.0	0	0.0
47	LR999924.1	4700000.0	4800000.0	155	17404	20.0	4171.0	8.0	358.0	0.0	0.0	11.0	2620.0	1.0	68.0	9	1427	35	1457	4	19896.0	0	0.0
48	LR999924.1	4800000.0	4900000.0	161	22414	24.0	5053.0	14.0	1867.0	1.0	96.0	20.0	4024.0	3.0	185.0	11	4430	34	1356	2	7286.0	0	0.0
